year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence
1974,0.067822,0.47445,205548.35,0.7465,0,0.205277,5.15,0.147855,-7.6226,0.9,36.65,0.05435,119.96525,0.7306
1975,0.219462,0.4575,245669.1154,0.913308,0,0.113606,4.769231,0.563685,-6.1815,0.769231,33.115385,0.094019,130.586692,0.533846
1976,0.362717,0.4748,206192,0.82004,0,0.03982,5,0.338344,-7.7962,0.72,37.08,0.086144,123.14392,0.490328
1977,0.147162,0.430343,207715.1143,0.916543,0,0.117398,3.828571,0.507509,-6.512857,0.828571,30.828571,0.112866,143.072971,0.52314
1978,0.106776,0.5658,200559.8,0.8494,0,0.152474,5.4,0.25568,-7.4668,0.6,34.2,0.0678,127.7364,0.7068
1979,0.233478,0.624889,260274.1111,0.882556,0,0.001523,4,0.195878,-5.777,0.666667,44.888889,0.051078,128.350444,0.786889
1980,0.1032,0.569,222442.7,0.889,0,0.000203,5.9,0.11879,-6.2699,0.8,31.2,0.05034,126.2825,0.7724
1981,0.22575,0.59025,251817,0.7355,0,0.001263,9.25,0.13375,-6.66425,0.75,30,0.091825,130.8125,0.31925
1982,0.02199,0.4703,257334.7,0.8903,0,0.001245,5,0.24571,-5.7594,0.6,38.7,0.07602,141.1011,0.29708
1983,0.048766,0.5335,251595.125,0.888125,0,0.039784,7,0.238125,-6.281125,1,34.875,0.077238,123.42275,0.487125
1984,0.03543,0.524714,244445.8571,0.902429,0,0.043783,4,0.387143,-5.758857,0.857143,36.857143,0.103857,126.574429,0.447614
1985,0.036205,0.52675,245546.5,0.9425,0,0.005126,3.75,0.26425,-7.28325,0.5,39,0.1118,121.0535,0.239475
1987,0.517333,0.536333,222111.3333,0.842333,0,0.000007,6.666667,0.361933,-6.743,1,47,0.0558,115.111333,0.617667
1988,0.071109,0.665143,221698.1429,0.709429,0,0.000041,1.857143,0.2225,-11.308,0.714286,31.142857,0.057557,119.933143,0.701429
1989,0.299333,0.519333,247000,0.8,0,0.000932,5.666667,0.180033,-10.531,0.666667,47.333333,0.0488,143.160667,0.483
1992,0.09125,0.54425,265496.75,0.659,0,0.000122,4.5,0.225025,-9.17625,1,48.5,0.060075,136.3455,0.40975
1996,0.0765,0.613,259080,0.988,0,0,8,0.98,-5.023,1,48,0.0841,137.429,0.546
1998,0.000074,0.556,330360,0.929,0,0.38,1,0.237,-5.055,1,48,0.0637,121.48,0.44
2006,0.001276,0.234,538740,0.994,0,0.727,9,0.849,-5.315,0.5,11,0.1985,150.259,0.0902
