year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence
1973,0.351603,0.371179,243117.6071,0.587429,0,0.078306,4.321429,0.191904,-11.762786,0.785714,26.678571,0.077325,117.863107,0.432504
1974,0.321015,0.369441,204670.5441,0.610444,0,0.012526,4.367647,0.278834,-10.716412,0.75,26.426471,0.073316,122.936338,0.455485
1975,0.35946,0.421829,213365.4878,0.567854,0,0.066766,3.731707,0.235771,-10.026854,0.780488,34.463415,0.067795,125.720537,0.431488
1976,0.396,0.3965,267562.1667,0.531533,0,0.000531,4.433333,0.241767,-10.011333,0.9,30.066667,0.04882,122.4309,0.30237
1977,0.373399,0.467077,212222.5769,0.553227,0,0.000651,6.423077,0.236423,-9.382885,0.807692,35.576923,0.068765,122.744231,0.420488
1978,0.176298,0.491563,206813.8125,0.614031,0,0.028498,5.34375,0.29985,-8.95125,0.75,32.8125,0.108609,119.359594,0.494594
1979,0.21995,0.36275,265869.75,0.60425,0,0.00191,5.5,0.721,-14.09725,1,20.5,0.087275,132.7175,0.4265
1980,0.270831,0.534625,203128.25,0.628437,0,0.078149,6,0.234094,-9.252219,0.65625,32,0.074897,108.987375,0.493625
1981,0.209306,0.546059,208540.5294,0.527176,0,0.0104,5.294118,0.175541,-11.011294,0.823529,43.235294,0.061047,103.376118,0.515588
1982,0.16865,0.6832,236517.25,0.5424,0,0.000904,3.05,0.12607,-10.13885,0.9,25.95,0.0576,109.8981,0.5485
1984,0.233212,0.561333,265708.25,0.591,0,0.002719,4.791667,0.177412,-9.595042,1,34.75,0.049863,112.106042,0.509833
1986,0.176375,0.470667,264297.1429,0.612286,0,0.068095,6.285714,0.313424,-9.556952,0.428571,32.52381,0.074057,110.850048,0.305848
1989,0.082382,0.499364,266670.2727,0.732455,0,0.006977,4.818182,0.354818,-7.945,0.545455,34.636364,0.045609,98.891818,0.466364
1991,0.306942,0.522,278621.1053,0.617211,0,0.000417,6,0.147821,-9.327105,0.631579,37.473684,0.048737,105.283842,0.394068
1992,0.314325,0.3095,254626.625,0.9265,0,0.073968,4.5,0.8485,-4.474625,0.875,30.625,0.124738,127.695,0.21415
1995,0.26832,0.4824,307074.4,0.6604,0,0.000029,5.4,0.2273,-7.3176,0.8,43.6,0.04766,104.4202,0.3888
2006,0.271,0.397,355400,0.386,0,0,0,0.188,-10.405,0,60,0.0503,144.242,0.21
2011,0.242333,0.499333,264200,0.509,0,0.00276,3.666667,0.2235,-8.509333,0.333333,37.333333,0.041533,124.535667,0.309333
2014,0.268,0.569,267680,0.379,0,0.000291,11,0.364,-8.555,0,11,0.0263,110.972,0.117
